gen,mean,std,highest,lowest
0,0.005798652109420186,0.04279911992185653,0.10748522801362,-0.1295353526906783
1,-0.00614043075569251,0.03920416423828379,0.08739869952223932,-0.14742623531034763
2,0.005536172751259305,0.045530085724980546,0.1424667993985509,-0.12020355403154542
3,0.000247342457990484,0.040927969219034174,0.09648303985561728,-0.1136460484553923
4,0.005176919991474234,0.045249519169292485,0.16560954396439426,-0.11290715767387904
5,0.0011874079405356191,0.04429337749974344,0.11289904689025844,-0.11514035819009558
6,0.0008388829633965775,0.04785963680578654,0.14002177875854915,-0.17937765133212188
7,0.0005499026190892737,0.04494918335723101,0.09511224402241585,-0.18803026860299102
8,0.00776999212350758,0.052704794817525526,0.11365758900199584,-0.1547323050044356
9,-0.0038338973872661802,0.03993360594741534,0.08023580791832557,-0.1226539513672309
10,0.0064126130458609055,0.04674452962830247,0.1381999864266217,-0.09028192558436202
11,0.00727923781698169,0.04229242908518986,0.12424154149416032,-0.09693902662954176
12,0.003468279729789413,0.04327721591780584,0.1515981114572611,-0.11420626617426721
13,-0.0006799796811673745,0.04272726988357631,0.11193084795677477,-0.1366928426488675
14,0.00482843832822979,0.03733348966837932,0.08909544158723619,-0.10421217904656874
15,-0.00013612119252008698,0.047427665560419024,0.1669814048205715,-0.11001522177287235
16,0.009939653437884138,0.04096842003164231,0.1355805139718374,-0.08727757023820751
17,0.0006834086352783625,0.047706422927654674,0.08941661552707329,-0.1688838374835239
18,0.0027981398545578874,0.04321874504594995,0.11642025903606892,-0.12029093386864273
19,0.00811768549907639,0.04280604349144583,0.1257954955550428,-0.10110311284288936
20,0.007360150702604038,0.0455289166368397,0.12661166731607099,-0.1117916073085444
21,0.0009240899652194176,0.046344979132312385,0.1517640380922463,-0.11134485131619296
22,0.005957268588431879,0.049262442410869516,0.14714532175380524,-0.1357653802920646
23,0.004953328907929207,0.04663235559645769,0.12184203872699373,-0.12181825568271287
24,0.010580478037100237,0.04491214299318195,0.12209260689994827,-0.11900122245956599
25,0.012540790551606196,0.04829403016678888,0.14325742607731196,-0.1258428420097505
26,0.0043260701271462705,0.039655605783953114,0.14171092193631535,-0.10432350945131763
27,-0.0005679343283768679,0.04243453690281675,0.12257700989532802,-0.09480157939992631
28,-0.0017847256208536296,0.04003261696869426,0.099171972736654,-0.11234101572302943
29,0.0012828232108148538,0.04557162031028094,0.12081090280594041,-0.15088945450423982
30,0.002865961378190005,0.036629010352701365,0.10318597153862923,-0.07857140326222581
31,0.0006085949101797597,0.03952226523346327,0.14544520750105436,-0.11115275667633465
32,-0.0021492309978436096,0.03991473767908363,0.10793778665636013,-0.10292316595573045
33,0.009756955684261963,0.04277982152467695,0.10615793630185212,-0.1034864988620374
34,-0.0018416385518475692,0.04562180887605884,0.10025963863920186,-0.10336678761484872
35,0.0019834116669628444,0.040910963453129875,0.1508280158076955,-0.09706626834793541
36,0.004768980526301575,0.04447806564379517,0.1061101091119096,-0.14877083261797383
37,0.0009966572049613736,0.04295122407049453,0.11059523635630308,-0.09753469762128589
38,0.01721677859159976,0.04403390197279582,0.11386041619310008,-0.08564412919791525
39,0.008312798295153741,0.044871238380770895,0.1434854663218501,-0.09532320758279608
