gen,mean,std,highest,lowest
0,-0.0023797669806271573,0.039047967999394965,0.08874073769753615,-0.1958758806128322
1,0.011743604060919437,0.03566326027413439,0.08874073769753615,-0.16094533762221694
2,0.01857663926623487,0.039953171824456846,0.11368674037428543,-0.2009862083861623
3,0.025854863784655308,0.043261843839275824,0.11368674037428543,-0.22946607511500486
4,0.028699913630194182,0.041334780824994345,0.14045694256872124,-0.13051362592134677
5,0.03946459004011533,0.034295206601303425,0.14045694256872124,-0.06143584585039688
6,0.03170751364555789,0.05450617089225835,0.14045694256872124,-0.16866162733111176
7,0.04193282800713288,0.04946701998055104,0.14122943023167978,-0.2629324571203391
8,0.0467170560079111,0.039977929164319456,0.14122943023167978,-0.058091465085044675
9,0.05320688622481065,0.041900079182646245,0.14122943023167978,-0.05509808556867338
10,0.05591805233912749,0.04755164409134933,0.14122943023167978,-0.10761426167098823
11,0.06380063539671915,0.042888721369947896,0.14122943023167978,-0.10356592629081307
12,0.06574835228180335,0.050931625815212836,0.14122943023167978,-0.17975718348011885
13,0.06754343176569493,0.053807175080356075,0.15168293666390908,-0.1624261960671852
14,0.08190677916030237,0.040958957083210575,0.15168293666390908,-0.030159572859931233
15,0.08771846796610858,0.04061039593012352,0.15168293666390908,-0.03785715160059047
16,0.08759407005226494,0.0496641363181477,0.15168293666390908,-0.15421296080147237
17,0.09371724395563474,0.044113149230215455,0.15168293666390908,-0.12925130902621204
18,0.1021817352668751,0.03728042829519454,0.15168293666390908,-0.06391888066628867
19,0.10232816983210659,0.03844943247777037,0.15168293666390908,-0.028066036999647992
20,0.10566839551280309,0.03881155443784908,0.15168293666390908,-0.06600805397014944
21,0.10190524256649347,0.04378816773600275,0.15168293666390908,-0.04350150559694407
22,0.10840628608400003,0.03457724035795029,0.15168293666390908,-0.010714374670027144
23,0.10965987855835302,0.0350418082842276,0.15168293666390908,-0.016402035425195638
24,0.10945572487825979,0.03662135172191887,0.15168293666390908,-0.030475364824240153
25,0.1088658778473787,0.039481626788501104,0.15197333618781556,-0.0015579032436725954
26,0.11014488505700673,0.03780050707202822,0.15197333618781556,-0.03367881441080098
27,0.1107604608863712,0.03817301399147973,0.15197333618781556,-0.03692721927595294
28,0.11413562893589185,0.03150262696121131,0.15197333618781556,0.00046106049958230533
29,0.11681466262666959,0.03274758035025909,0.15197333618781556,-0.001480695460970377
30,0.1179384300844323,0.035727104051208276,0.15197333618781556,-0.09599361867972545
31,0.11812846153033121,0.03606244872986051,0.15197333618781556,-0.01810383509309471
32,0.121674234647798,0.02945656690844137,0.15197333618781556,0.012512223670713682
33,0.12099233831162737,0.032774752823175164,0.15197333618781556,-0.025535846838681237
34,0.12339502060780035,0.02973340124188796,0.15278778567692441,-0.01503355576868129
35,0.11794282382610154,0.03944454838141476,0.15278778567692441,-0.07380713746165271
36,0.12007547614329252,0.03735056033613682,0.1559582213278705,-0.01829547268549922
37,0.1248764315959299,0.029593698286340793,0.1559582213278705,-0.0014435564198717193
38,0.12656413268063577,0.02987281392166036,0.1559582213278705,-0.0026826815818557226
39,0.12476728036357498,0.028195393119402962,0.1559582213278705,0.022677543267162037
40,0.12957332431506774,0.02302166881878469,0.1559582213278705,0.03118178428316558
41,0.12897367412718214,0.028848194374556435,0.16339610111323014,-0.01272194935930522
42,0.13076540148570984,0.02568424564081378,0.16339610111323014,0.024508143880203365
43,0.13201550755511396,0.023297969302337983,0.16339610111323014,0.04601332693480272
44,0.13265494777047004,0.02090391474065901,0.16339610111323014,0.06468628192353205
45,0.13028618418053273,0.025362659043978907,0.16339610111323014,0.056833818586898684
46,0.13176613752150157,0.02414125936257096,0.16339610111323014,0.012792247456613559
47,0.13022252360463904,0.029086119749946952,0.16339610111323014,0.009851592758552408
48,0.13366619892370024,0.023818128882517477,0.16339610111323014,0.017394756439151088
49,0.1273698064948384,0.03430153005901785,0.16339610111323014,-0.03418635274182821
50,0.1300425917036112,0.026280242026814647,0.16339610111323014,0.03323103010383628
